_id,addresses,admin_graphql_api_id,created_at,currency,default_address,email,email_marketing_consent,first_name,id,last_name,last_order_id,last_order_name,multipass_identifier,note,orders_count,phone,sms_marketing_consent,state,tags,tax_exempt,tax_exemptions,total_spent,updated_at,verified_email
54332765046642499,"[{'id': 26653187035107650, 'customer_id': 54332765046642499, 'first_name': 'XBJnvZ', 'last_name': 'lqzpc', 'company': None, 'address1': '439 bGhpYm RCc', 'address2': None, 'city': 'Austin', 'province': 'TX', 'country': 'NP', 'zip': '73301', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/54332765046642499,2021-08-04T18:16:04+00:00,,"{'id': 26653187035107650, 'customer_id': 54332765046642499, 'first_name': 'XBJnvZ', 'last_name': 'lqzpc', 'company': None, 'address1': '439 bGhpYm RCc', 'address2': None, 'city': 'Austin', 'province': 'TX', 'country': 'NP', 'zip': '73301', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",PwJu@test.com,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",XBJnvZ,54332765046642499,lqzpc,,,,,0,,,disabled,,False,[],0.00,2021-08-04T18:16:04+00:00,True
36888428430233678,"[{'id': 68470770286684737, 'customer_id': 36888428430233678, 'first_name': 'GRAIrZ', 'last_name': 'VXwcv', 'company': None, 'address1': '716 zoSCWR Kps', 'address2': None, 'city': 'Laredo', 'province': 'TX', 'country': 'IN', 'zip': '78040', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/36888428430233678,2020-07-04T04:46:17+00:00,,"{'id': 68470770286684737, 'customer_id': 36888428430233678, 'first_name': 'GRAIrZ', 'last_name': 'VXwcv', 'company': None, 'address1': '716 zoSCWR Kps', 'address2': None, 'city': 'Laredo', 'province': 'TX', 'country': 'IN', 'zip': '78040', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",LSCh@yahoo.org,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",GRAIrZ,36888428430233678,VXwcv,,,,,0,,,disabled,,False,[],0.00,2020-07-04T04:46:17+00:00,True
16517852222776398,"[{'id': 29894484415042892, 'customer_id': 16517852222776398, 'first_name': 'xEKtop', 'last_name': 'qxkXW', 'company': None, 'address1': '640 LzmrNk pjU', 'address2': None, 'city': 'Philadelphia', 'province': 'PA', 'country': 'DJ', 'zip': '19101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/16517852222776398,2020-03-25T17:13:53+00:00,,"{'id': 29894484415042892, 'customer_id': 16517852222776398, 'first_name': 'xEKtop', 'last_name': 'qxkXW', 'company': None, 'address1': '640 LzmrNk pjU', 'address2': None, 'city': 'Philadelphia', 'province': 'PA', 'country': 'DJ', 'zip': '19101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",tXoi@outlook.io,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",xEKtop,16517852222776398,qxkXW,,,,,0,,,disabled,,False,[],0.00,2020-03-25T17:13:53+00:00,True
51574616121794380,"[{'id': 9295650347901250, 'customer_id': 51574616121794380, 'first_name': 'pinPAq', 'last_name': 'bSjVY', 'company': None, 'address1': '285 rqYAOB RbE', 'address2': None, 'city': 'San Jose', 'province': 'CA', 'country': 'AW', 'zip': '95101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/51574616121794380,2021-09-01T10:18:01+00:00,,"{'id': 9295650347901250, 'customer_id': 51574616121794380, 'first_name': 'pinPAq', 'last_name': 'bSjVY', 'company': None, 'address1': '285 rqYAOB RbE', 'address2': None, 'city': 'San Jose', 'province': 'CA', 'country': 'AW', 'zip': '95101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",Dvyw@outlook.edu,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",pinPAq,51574616121794380,bSjVY,,,,,0,,,disabled,,False,[],0.00,2021-09-01T10:18:01+00:00,True
19598233345898575,"[{'id': 873555944984134, 'customer_id': 19598233345898575, 'first_name': 'XFKHHd', 'last_name': 'ySxEA', 'company': None, 'address1': '565 eqnVuD bar', 'address2': None, 'city': 'Orlando', 'province': 'FL', 'country': 'BH', 'zip': '32801', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/19598233345898575,2020-05-15T22:15:04+00:00,,"{'id': 873555944984134, 'customer_id': 19598233345898575, 'first_name': 'XFKHHd', 'last_name': 'ySxEA', 'company': None, 'address1': '565 eqnVuD bar', 'address2': None, 'city': 'Orlando', 'province': 'FL', 'country': 'BH', 'zip': '32801', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",qiXX@yahoo.org,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",XFKHHd,19598233345898575,ySxEA,,,,,0,,,disabled,,False,[],0.00,2020-05-15T22:15:04+00:00,True
40401021486997068,"[{'id': 4238001816651846, 'customer_id': 40401021486997068, 'first_name': 'ppzHmk', 'last_name': 'WBpaL', 'company': None, 'address1': '152 WgZxdp Wrk', 'address2': None, 'city': 'Tampa', 'province': 'FL', 'country': 'EC', 'zip': '33601', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/40401021486997068,2021-08-01T01:24:46+00:00,,"{'id': 4238001816651846, 'customer_id': 40401021486997068, 'first_name': 'ppzHmk', 'last_name': 'WBpaL', 'company': None, 'address1': '152 WgZxdp Wrk', 'address2': None, 'city': 'Tampa', 'province': 'FL', 'country': 'EC', 'zip': '33601', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",ZmTR@example.io,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",ppzHmk,40401021486997068,WBpaL,,,,,0,,,disabled,,False,[],0.00,2021-08-01T01:24:46+00:00,True
32136689858526027,"[{'id': 60687451639417934, 'customer_id': 32136689858526027, 'first_name': 'aMeuzg', 'last_name': 'xTpAv', 'company': None, 'address1': '207 HQVaIJ sla', 'address2': None, 'city': 'San Antonio', 'province': 'TX', 'country': 'DM', 'zip': '78201', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/32136689858526027,2021-10-11T00:52:04+00:00,,"{'id': 60687451639417934, 'customer_id': 32136689858526027, 'first_name': 'aMeuzg', 'last_name': 'xTpAv', 'company': None, 'address1': '207 HQVaIJ sla', 'address2': None, 'city': 'San Antonio', 'province': 'TX', 'country': 'DM', 'zip': '78201', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",QzgB@gmail.io,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",aMeuzg,32136689858526027,xTpAv,,,,,0,,,disabled,,False,[],0.00,2021-10-11T00:52:04+00:00,True
14049085631939406,"[{'id': 47574510886892619, 'customer_id': 14049085631939406, 'first_name': 'UzBgTh', 'last_name': 'EscFI', 'company': None, 'address1': '541 UdMuMT lSK', 'address2': None, 'city': 'Chicago', 'province': 'IL', 'country': 'BI', 'zip': '60601', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/14049085631939406,2021-04-19T19:53:53+00:00,,"{'id': 47574510886892619, 'customer_id': 14049085631939406, 'first_name': 'UzBgTh', 'last_name': 'EscFI', 'company': None, 'address1': '541 UdMuMT lSK', 'address2': None, 'city': 'Chicago', 'province': 'IL', 'country': 'BI', 'zip': '60601', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",GAuG@gmail.com,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",UzBgTh,14049085631939406,EscFI,,,,,0,,,disabled,,False,[],0.00,2021-04-19T19:53:53+00:00,True
48715736541462600,"[{'id': 61383142216731981, 'customer_id': 48715736541462600, 'first_name': 'wtXdjo', 'last_name': 'eXYYA', 'company': None, 'address1': '975 ppVEom Vdd', 'address2': None, 'city': 'Stockton', 'province': 'CA', 'country': 'DE', 'zip': '95201', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/48715736541462600,2021-02-02T17:34:54+00:00,,"{'id': 61383142216731981, 'customer_id': 48715736541462600, 'first_name': 'wtXdjo', 'last_name': 'eXYYA', 'company': None, 'address1': '975 ppVEom Vdd', 'address2': None, 'city': 'Stockton', 'province': 'CA', 'country': 'DE', 'zip': '95201', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",fyCj@gmail.io,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",wtXdjo,48715736541462600,eXYYA,,,,,0,,,disabled,,False,[],0.00,2021-02-02T17:34:54+00:00,True
5530661872590670,"[{'id': 12027816128487235, 'customer_id': 5530661872590670, 'first_name': 'WGooWJ', 'last_name': 'cVbYo', 'company': None, 'address1': '767 OMEJSz dZU', 'address2': None, 'city': 'Seattle', 'province': 'WA', 'country': 'VA', 'zip': '98101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}]",gid://shopify/Customer/5530661872590670,2020-03-16T05:30:04+00:00,,"{'id': 12027816128487235, 'customer_id': 5530661872590670, 'first_name': 'WGooWJ', 'last_name': 'cVbYo', 'company': None, 'address1': '767 OMEJSz dZU', 'address2': None, 'city': 'Seattle', 'province': 'WA', 'country': 'VA', 'zip': '98101', 'phone': None, 'name': '', 'province_code': None, 'country_code': '', 'country_name': '', 'default': True}",DMdo@yahoo.edu,"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}",WGooWJ,5530661872590670,cVbYo,,,,,0,,,disabled,,False,[],0.00,2020-03-16T05:30:04+00:00,True
